,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
44,-122.26,37.83,52.0,1443.0,311.0,660.0,292.0,3.0125,5255.736251437147,NEAR BAY
45,-122.26,37.83,52.0,1656.0,420.0,718.0,382.0,2.6768,2964.772182482143,NEAR BAY
46,-122.26,37.83,50.0,1125.0,322.0,616.0,304.0,2.026,160868.81579691483,NEAR BAY
47,-122.27,37.82,43.0,1007.0,312.0,558.0,253.0,1.7348,171975.95441043365,NEAR BAY
48,-122.26,37.82,40.0,624.0,195.0,423.0,160.0,0.9506,2973.3365680802035,NEAR BAY
49,-122.27,37.82,40.0,946.0,375.0,700.0,352.0,1.775,26648.434290487443,NEAR BAY
50,-122.27,37.82,21.0,896.0,453.0,735.0,438.0,0.9218,13941.907415129492,NEAR BAY
51,-122.27,37.82,43.0,1868.0,456.0,1061.0,407.0,1.5045,164178.2665400035,NEAR BAY
52,-122.27,37.82,41.0,3221.0,853.0,1959.0,720.0,1.1108,28425.72670645559,NEAR BAY
53,-122.27,37.82,52.0,1630.0,456.0,1162.0,400.0,1.2475,56324.37500558481,NEAR BAY
54,-122.28,37.82,52.0,1170.0,235.0,701.0,233.0,1.6098,25668.073205561443,NEAR BAY
55,-122.28,37.82,52.0,945.0,243.0,576.0,220.0,1.4113,30863.084664296555,NEAR BAY
56,-122.28,37.82,52.0,1238.0,288.0,622.0,259.0,1.5057,209.04098319288977,NEAR BAY
57,-122.28,37.82,52.0,1489.0,335.0,728.0,244.0,0.8172,10496.78707736362,NEAR BAY
58,-122.28,37.82,52.0,1387.0,341.0,1074.0,304.0,1.2171,6391.475148490691,NEAR BAY
59,-122.29,37.82,2.0,158.0,43.0,94.0,57.0,2.5625,48776.96717233066,NEAR BAY
60,-122.29,37.83,52.0,1121.0,211.0,554.0,187.0,3.3929,134342.461137563,NEAR BAY
61,-122.29,37.82,49.0,135.0,29.0,86.0,23.0,6.1183,2365.657922155967,NEAR BAY
62,-122.29,37.81,50.0,760.0,190.0,377.0,122.0,0.9011,56783.96137731045,NEAR BAY
63,-122.3,37.81,52.0,1224.0,237.0,521.0,159.0,1.191,28971.058512903728,NEAR BAY
64,-122.3,37.81,48.0,828.0,182.0,392.0,133.0,2.5938,43380.94104022301,NEAR BAY
65,-122.3,37.81,52.0,1010.0,209.0,604.0,187.0,1.1667,20180.675080983885,NEAR BAY
66,-122.3,37.81,48.0,1455.0,354.0,788.0,332.0,0.8056,5456.5397190528565,NEAR BAY
67,-122.29,37.8,52.0,1027.0,244.0,492.0,147.0,2.6094,76453.79494912259,NEAR BAY
68,-122.3,37.81,52.0,572.0,109.0,274.0,82.0,1.8516,35254.95060126074,NEAR BAY
69,-122.29,37.81,46.0,2801.0,644.0,1823.0,611.0,0.9802,54859.32685519422,NEAR BAY
70,-122.29,37.81,26.0,768.0,152.0,392.0,127.0,1.7719,16839.973870441143,NEAR BAY
71,-122.29,37.81,46.0,935.0,297.0,582.0,277.0,0.7286,42679.01350787801,NEAR BAY
72,-122.29,37.81,49.0,844.0,204.0,560.0,152.0,1.75,240777.56946060865,NEAR BAY
73,-122.29,37.81,46.0,12.0,4.0,18.0,7.0,0.4999,5457.916977682247,NEAR BAY
74,-122.29,37.81,20.0,835.0,161.0,290.0,133.0,2.483,5545.100078920961,NEAR BAY
75,-122.28,37.81,17.0,1237.0,462.0,762.0,439.0,0.9241,65447.37867086676,NEAR BAY
76,-122.28,37.81,36.0,2914.0,562.0,1236.0,509.0,2.4464,39417.436805160025,NEAR BAY
77,-122.28,37.81,19.0,1207.0,243.0,721.0,207.0,1.1111,10780.591042774446,NEAR BAY
78,-122.29,37.81,23.0,1745.0,374.0,1054.0,325.0,0.8026,3897.0757389639334,NEAR BAY
79,-122.28,37.8,38.0,684.0,176.0,344.0,155.0,2.0114,2970.0805484849343,NEAR BAY
80,-122.28,37.81,17.0,924.0,289.0,609.0,289.0,1.5,37256.07866451305,NEAR BAY
81,-122.27,37.81,52.0,210.0,56.0,183.0,56.0,1.1667,2217.2354402309315,NEAR BAY
82,-122.28,37.81,52.0,340.0,97.0,200.0,87.0,1.5208,4399.284560222421,NEAR BAY
83,-122.28,37.81,52.0,386.0,164.0,346.0,155.0,0.8075,34950.31417785099,NEAR BAY
84,-122.28,37.81,35.0,948.0,184.0,467.0,169.0,1.8088,37813.27225155631,NEAR BAY
85,-122.28,37.81,52.0,773.0,143.0,377.0,115.0,2.4083,22412.028457005676,NEAR BAY
86,-122.27,37.81,40.0,880.0,451.0,582.0,380.0,0.977,143793.5122595214,NEAR BAY
87,-122.27,37.81,10.0,875.0,348.0,546.0,330.0,0.76,17194.16240389796,NEAR BAY
88,-122.27,37.8,10.0,105.0,42.0,125.0,39.0,0.9722,52915.630124132076,NEAR BAY
89,-122.27,37.8,52.0,249.0,78.0,396.0,85.0,1.2434,25941.568874976052,NEAR BAY
90,-122.27,37.8,16.0,994.0,392.0,800.0,362.0,2.0938,21032.59329120996,NEAR BAY
91,-122.28,37.8,52.0,215.0,87.0,904.0,88.0,0.8668,11024.745565735077,NEAR BAY
92,-122.28,37.8,52.0,96.0,31.0,191.0,34.0,0.75,34214.41530797669,NEAR BAY
93,-122.27,37.79,27.0,1055.0,347.0,718.0,302.0,2.6354,141694.1656533169,NEAR BAY
94,-122.27,37.8,39.0,1715.0,623.0,1327.0,467.0,1.8477,29446.606871381846,NEAR BAY
95,-122.26,37.8,36.0,5329.0,2477.0,3469.0,2323.0,2.0096,25525.771344166737,NEAR BAY
96,-122.26,37.82,31.0,4596.0,1331.0,2048.0,1180.0,2.8345,36656.82846576105,NEAR BAY
97,-122.26,37.81,29.0,335.0,107.0,202.0,91.0,2.0062,63150.16945220847,NEAR BAY
98,-122.26,37.82,22.0,3682.0,1270.0,2024.0,1250.0,1.2185,23695.062261484338,NEAR BAY
99,-122.26,37.82,37.0,3633.0,1085.0,1838.0,980.0,2.6104,151342.05691725668,NEAR BAY
100,-122.25,37.81,29.0,4656.0,1414.0,2304.0,1250.0,2.4912,18839.580603753944,NEAR BAY
101,-122.25,37.81,28.0,5806.0,1603.0,2563.0,1497.0,3.2177,3549.3292025055716,NEAR BAY
102,-122.25,37.81,39.0,854.0,242.0,389.0,228.0,3.125,47794.33799092167,NEAR BAY
103,-122.25,37.81,52.0,2155.0,701.0,895.0,613.0,2.5795,27697.514162882144,NEAR BAY
104,-122.26,37.81,34.0,5871.0,1914.0,2689.0,1789.0,2.8406,25520.607628501857,NEAR BAY
105,-122.24,37.82,52.0,1509.0,225.0,674.0,244.0,4.9306,87385.50341497466,NEAR BAY
106,-122.24,37.81,52.0,2026.0,482.0,709.0,456.0,3.2727,58684.16913108343,NEAR BAY
107,-122.25,37.81,52.0,1758.0,460.0,686.0,422.0,3.1691,47356.852262690314,NEAR BAY
108,-122.24,37.82,52.0,3481.0,751.0,1444.0,718.0,3.9,249293.27591824677,NEAR BAY
109,-122.25,37.82,28.0,3337.0,855.0,1520.0,802.0,3.9063,19948.62777160654,NEAR BAY
110,-122.25,37.82,52.0,1424.0,289.0,550.0,253.0,5.0917,153320.00624543146,NEAR BAY
111,-122.25,37.82,32.0,3809.0,1098.0,1806.0,1022.0,2.6429,8276.791485849924,NEAR BAY
112,-122.25,37.82,26.0,3959.0,1196.0,1749.0,1217.0,3.0233,56746.62441430909,NEAR BAY
113,-122.25,37.83,52.0,2376.0,559.0,939.0,519.0,3.1484,90324.66393351721,NEAR BAY
114,-122.25,37.83,35.0,1613.0,428.0,675.0,422.0,3.4722,14706.8229392439,NEAR BAY
115,-122.25,37.83,52.0,1279.0,287.0,534.0,291.0,3.1429,45490.36423082696,NEAR BAY
116,-122.25,37.83,28.0,5022.0,1750.0,2558.0,1661.0,2.4234,55331.33497687764,NEAR BAY
117,-122.25,37.83,52.0,4190.0,1105.0,1786.0,1037.0,3.0897,4606.994384483231,NEAR BAY
118,-122.23,37.84,50.0,2515.0,399.0,970.0,373.0,5.8596,209028.4474531317,NEAR BAY
119,-122.23,37.84,47.0,3175.0,454.0,1098.0,485.0,5.2868,35197.24708759996,NEAR BAY
120,-122.24,37.83,41.0,2576.0,406.0,794.0,376.0,5.956,19003.227615443553,NEAR BAY
121,-122.24,37.85,37.0,334.0,54.0,98.0,47.0,4.9643,105535.07225451712,NEAR BAY
122,-122.23,37.85,52.0,2800.0,411.0,1061.0,403.0,6.3434,30003.352521395413,NEAR BAY
123,-122.24,37.84,52.0,3529.0,574.0,1177.0,555.0,5.1773,128236.85879415463,NEAR BAY
124,-122.24,37.85,52.0,2612.0,365.0,901.0,367.0,7.2354,25799.243836562342,NEAR BAY
125,-122.22,37.85,28.0,5287.0,1048.0,2031.0,956.0,5.457,54724.956859388294,NEAR BAY
126,-122.22,37.84,50.0,2935.0,473.0,1031.0,479.0,7.5,2456.4430340940717,NEAR BAY
127,-122.21,37.84,44.0,3424.0,597.0,1358.0,597.0,6.0194,40571.05817695247,NEAR BAY
128,-122.21,37.83,40.0,4991.0,674.0,1616.0,654.0,7.5544,471.780343674269,NEAR BAY
129,-122.2,37.84,30.0,2211.0,346.0,844.0,343.0,6.0666,51293.57380857462,NEAR BAY
130,-122.21,37.84,34.0,3038.0,490.0,1140.0,496.0,7.0548,14591.53519464993,NEAR BAY
131,-122.19,37.84,18.0,1617.0,210.0,533.0,194.0,11.6017,35193.26134381371,NEAR BAY
132,-122.2,37.84,35.0,2865.0,460.0,1072.0,443.0,7.4882,66550.74827984396,NEAR BAY
133,-122.21,37.83,34.0,5065.0,788.0,1627.0,766.0,6.8976,72147.6319707793,NEAR BAY
134,-122.19,37.83,28.0,1326.0,184.0,463.0,190.0,8.2049,21228.727484668394,NEAR BAY
135,-122.2,37.83,26.0,1589.0,223.0,542.0,211.0,8.401,42577.16257064862,NEAR BAY
136,-122.19,37.83,29.0,1791.0,271.0,661.0,269.0,6.8538,1663.3467153151246,NEAR BAY
137,-122.19,37.82,32.0,1835.0,264.0,635.0,263.0,8.317,65813.78374191262,NEAR BAY
138,-122.2,37.82,37.0,1229.0,181.0,420.0,176.0,7.0175,31746.41289574102,NEAR BAY
139,-122.2,37.82,39.0,3770.0,534.0,1265.0,500.0,6.3302,3585.2082097342895,NEAR BAY
140,-122.18,37.81,30.0,292.0,38.0,126.0,52.0,6.3624,3844.985869619491,NEAR BAY
141,-122.21,37.82,52.0,2375.0,333.0,813.0,350.0,7.0549,111017.37229710999,NEAR BAY
142,-122.2,37.81,45.0,2964.0,436.0,1067.0,426.0,6.7851,11054.018971909389,NEAR BAY
143,-122.21,37.8,50.0,2833.0,605.0,1260.0,552.0,2.8929,129229.51945036299,NEAR BAY
144,-122.21,37.8,38.0,2254.0,535.0,951.0,487.0,3.0812,1680.2311237020326,NEAR BAY
145,-122.21,37.81,52.0,1389.0,212.0,510.0,224.0,5.2402,2459.6971889202596,NEAR BAY
146,-122.22,37.81,52.0,1971.0,335.0,765.0,308.0,6.5217,9395.27597134595,NEAR BAY
147,-122.22,37.8,52.0,2183.0,465.0,1129.0,460.0,3.2632,11348.801810467501,NEAR BAY
148,-122.22,37.8,52.0,2286.0,464.0,1073.0,441.0,3.0298,3613.0712002395658,NEAR BAY
149,-122.22,37.8,52.0,2721.0,541.0,1185.0,515.0,4.5428,58146.00264181,NEAR BAY
150,-122.22,37.81,52.0,2024.0,339.0,756.0,340.0,4.072,125725.21266755447,NEAR BAY
151,-122.22,37.81,52.0,2944.0,536.0,1034.0,521.0,5.3509,11103.702726959607,NEAR BAY
152,-122.23,37.8,52.0,2033.0,486.0,787.0,459.0,3.1603,46047.47215368984,NEAR BAY
153,-122.23,37.81,52.0,1433.0,229.0,612.0,213.0,4.7708,95509.98323203242,NEAR BAY
154,-122.22,37.81,52.0,2927.0,402.0,1021.0,380.0,8.1564,42991.67952900266,NEAR BAY
155,-122.23,37.81,52.0,2315.0,292.0,861.0,258.0,8.8793,14055.134334609722,NEAR BAY
156,-122.24,37.81,52.0,2485.0,313.0,953.0,327.0,6.8591,21850.47972921763,NEAR BAY
157,-122.24,37.81,52.0,1490.0,238.0,634.0,256.0,6.0302,32255.655595249103,NEAR BAY
158,-122.23,37.81,52.0,2814.0,365.0,878.0,352.0,7.508,1989.2846753269196,NEAR BAY
159,-122.24,37.81,52.0,2093.0,550.0,918.0,483.0,2.7477,62279.21573847582,NEAR BAY
160,-122.24,37.8,52.0,888.0,168.0,360.0,175.0,2.1944,85451.41565934054,NEAR BAY
161,-122.25,37.8,52.0,2087.0,510.0,1197.0,488.0,3.0149,5279.933918496035,NEAR BAY
162,-122.24,37.81,52.0,2513.0,502.0,1048.0,518.0,3.675,91904.22309328658,NEAR BAY
163,-122.25,37.81,46.0,3232.0,835.0,1373.0,747.0,3.225,2027.4332492056603,NEAR BAY
164,-122.25,37.8,42.0,4120.0,1065.0,1715.0,1015.0,2.9345,5783.123292572446,NEAR BAY
165,-122.25,37.8,43.0,2364.0,792.0,1359.0,722.0,2.1429,57744.12730730264,NEAR BAY
166,-122.25,37.8,41.0,1471.0,469.0,1062.0,413.0,1.6121,35966.82382561294,NEAR BAY
167,-122.25,37.8,29.0,2468.0,864.0,1335.0,773.0,1.3929,406617.1536704452,NEAR BAY
168,-122.24,37.79,27.0,1632.0,492.0,1171.0,429.0,2.3173,79196.61842315338,NEAR BAY
169,-122.25,37.79,45.0,1786.0,526.0,1475.0,460.0,1.7772,57606.53399431276,NEAR BAY
170,-122.25,37.79,50.0,629.0,188.0,742.0,196.0,2.6458,120274.23332310838,NEAR BAY
171,-122.25,37.79,52.0,1339.0,391.0,1086.0,363.0,2.181,21842.24757500513,NEAR BAY
172,-122.25,37.8,36.0,1678.0,606.0,1645.0,543.0,2.2303,114535.83645606623,NEAR BAY
173,-122.25,37.8,43.0,2344.0,647.0,1710.0,644.0,1.6504,196701.25698698018,NEAR BAY
174,-122.24,37.8,52.0,996.0,228.0,731.0,228.0,2.2697,172245.48338917276,NEAR BAY
175,-122.24,37.8,52.0,1591.0,373.0,1118.0,347.0,2.1563,12407.449108951478,NEAR BAY
176,-122.24,37.8,52.0,1586.0,398.0,1006.0,335.0,2.1348,47747.560273805364,NEAR BAY
177,-122.24,37.8,47.0,2046.0,588.0,1213.0,554.0,2.6292,4596.920120963995,NEAR BAY
178,-122.23,37.8,52.0,1192.0,289.0,772.0,257.0,2.3833,70986.64706111501,NEAR BAY
179,-122.24,37.8,52.0,1803.0,420.0,1321.0,401.0,2.957,4725.05815256577,NEAR BAY
180,-122.24,37.8,49.0,2838.0,749.0,1487.0,677.0,2.5238,19381.771132774153,NEAR BAY
181,-122.23,37.8,52.0,783.0,184.0,488.0,186.0,1.9375,77408.7033079026,NEAR BAY
182,-122.23,37.8,51.0,1590.0,414.0,949.0,392.0,1.9028,1079.8116268370043,NEAR BAY
183,-122.23,37.8,50.0,1746.0,480.0,1149.0,415.0,2.25,125315.35558033001,NEAR BAY
184,-122.23,37.8,52.0,1252.0,299.0,844.0,280.0,2.3929,101805.16323066852,NEAR BAY
185,-122.23,37.79,43.0,5963.0,1344.0,4367.0,1231.0,2.1917,35751.06848352642,NEAR BAY
186,-122.23,37.79,52.0,1783.0,395.0,1659.0,412.0,2.9357,53931.03992721234,NEAR BAY
187,-122.23,37.79,30.0,999.0,264.0,1011.0,263.0,1.8854,20919.049837272938,NEAR BAY
188,-122.24,37.79,39.0,1469.0,431.0,1464.0,389.0,2.1638,1644.8276262415604,NEAR BAY
189,-122.24,37.79,47.0,1372.0,395.0,1237.0,303.0,2.125,3557.6835129483316,NEAR BAY
190,-122.24,37.79,52.0,674.0,180.0,647.0,168.0,3.375,5260.890189840574,NEAR BAY
191,-122.24,37.79,43.0,1626.0,376.0,1284.0,357.0,2.2542,25814.693100633565,NEAR BAY
192,-122.25,37.79,51.0,175.0,43.0,228.0,55.0,2.1,51865.324399516874,NEAR BAY
193,-122.25,37.79,39.0,461.0,129.0,381.0,123.0,1.6,132445.0376394294,NEAR BAY
194,-122.25,37.79,52.0,902.0,237.0,846.0,227.0,3.625,12645.014982538647,NEAR BAY
195,-122.26,37.8,20.0,2373.0,779.0,1659.0,676.0,1.6929,53665.12337672712,NEAR BAY
196,-122.22,37.77,52.0,391.0,128.0,520.0,138.0,1.6471,27222.235552712613,NEAR BAY
197,-122.22,37.77,52.0,1137.0,301.0,866.0,259.0,2.59,96108.1657603413,NEAR BAY
198,-122.23,37.77,52.0,769.0,206.0,612.0,183.0,2.57,356.0796437788249,NEAR BAY
199,-122.23,37.78,52.0,472.0,146.0,415.0,126.0,2.6429,11956.041618918227,NEAR BAY
200,-122.23,37.78,52.0,862.0,215.0,994.0,213.0,3.0257,844.4124920276602,NEAR BAY
201,-122.22,37.78,50.0,1920.0,530.0,1525.0,477.0,1.4886,56529.67242280781,NEAR BAY
202,-122.23,37.78,43.0,1420.0,472.0,1506.0,438.0,1.9338,116724.10346360733,NEAR BAY
203,-122.23,37.78,52.0,986.0,258.0,1008.0,255.0,1.4844,105839.16745945197,NEAR BAY
204,-122.23,37.78,44.0,2340.0,825.0,2813.0,751.0,1.6009,27133.18400995228,NEAR BAY
205,-122.23,37.79,48.0,1696.0,396.0,1481.0,343.0,2.0375,33792.328023031056,NEAR BAY
206,-122.23,37.79,49.0,1175.0,217.0,859.0,219.0,2.293,71248.64234032734,NEAR BAY
207,-122.22,37.79,37.0,2343.0,574.0,1608.0,523.0,2.1494,36076.64278703985,NEAR BAY
208,-122.23,37.79,30.0,610.0,145.0,425.0,140.0,1.6198,145220.4609738123,NEAR BAY
209,-122.23,37.79,40.0,930.0,199.0,564.0,184.0,1.3281,761.8055483422384,NEAR BAY
210,-122.22,37.79,44.0,1487.0,314.0,961.0,272.0,3.5156,19147.054531613212,NEAR BAY
211,-122.22,37.79,52.0,3424.0,690.0,2273.0,685.0,3.9048,21592.38505674545,NEAR BAY
212,-122.21,37.79,52.0,762.0,190.0,600.0,195.0,3.0893,9393.041930377944,NEAR BAY
213,-122.22,37.79,46.0,2366.0,575.0,1647.0,527.0,2.6042,93244.26316935969,NEAR BAY
214,-122.22,37.79,49.0,1826.0,450.0,1201.0,424.0,2.5,4089.0428558050335,NEAR BAY
215,-122.22,37.79,38.0,3049.0,711.0,2167.0,659.0,2.7969,43246.29503480997,NEAR BAY
216,-122.2,37.79,29.0,1640.0,376.0,939.0,340.0,2.8321,182079.35933892307,NEAR BAY
217,-122.21,37.79,47.0,1543.0,307.0,859.0,292.0,2.9583,40812.82426075106,NEAR BAY
218,-122.21,37.79,34.0,2364.0,557.0,1517.0,516.0,2.8365,1353.5618080114414,NEAR BAY
219,-122.21,37.79,35.0,1745.0,409.0,1143.0,386.0,2.875,32881.96443422036,NEAR BAY
220,-122.21,37.8,39.0,2003.0,500.0,1109.0,464.0,3.0682,10994.965302174804,NEAR BAY
221,-122.21,37.8,39.0,2018.0,447.0,1221.0,446.0,3.0757,813.3234905895167,NEAR BAY
222,-122.2,37.8,43.0,3045.0,499.0,1115.0,455.0,4.9559,30526.30639880635,NEAR BAY
223,-122.2,37.8,52.0,1547.0,293.0,706.0,268.0,4.7721,3701.0704428369695,NEAR BAY
224,-122.21,37.8,52.0,3519.0,711.0,1883.0,706.0,3.4861,11230.48903120548,NEAR BAY
225,-122.2,37.8,41.0,2070.0,354.0,804.0,340.0,5.1184,87379.7534379024,NEAR BAY
226,-122.21,37.8,48.0,1321.0,263.0,506.0,252.0,4.0977,112827.21873101067,NEAR BAY
227,-122.19,37.8,48.0,1694.0,259.0,610.0,238.0,4.744,11864.111779958817,NEAR BAY
228,-122.19,37.8,46.0,1938.0,341.0,768.0,332.0,4.2727,14743.593504457873,NEAR BAY
229,-122.19,37.79,50.0,968.0,195.0,462.0,184.0,2.9844,50471.11562799722,NEAR BAY
230,-122.2,37.79,40.0,1060.0,256.0,667.0,235.0,4.1739,36717.98170205344,NEAR BAY
231,-122.2,37.8,46.0,2041.0,405.0,1059.0,399.0,3.8487,48530.26407852088,NEAR BAY
232,-122.19,37.8,52.0,1813.0,271.0,637.0,277.0,4.0114,59662.06258655256,NEAR BAY
233,-122.19,37.79,45.0,2718.0,451.0,1106.0,454.0,4.6563,167018.87209404437,NEAR BAY
234,-122.19,37.79,28.0,3144.0,761.0,1737.0,669.0,2.9297,31311.436040283596,NEAR BAY
235,-122.2,37.79,35.0,1802.0,459.0,1009.0,390.0,2.3036,14566.146810870287,NEAR BAY
236,-122.2,37.79,49.0,882.0,195.0,737.0,210.0,2.6667,5132.32938254212,NEAR BAY
237,-122.2,37.79,44.0,1621.0,452.0,1354.0,491.0,2.619,95086.67136407577,NEAR BAY
238,-122.21,37.79,45.0,2115.0,533.0,1530.0,474.0,2.4167,28785.7238823971,NEAR BAY
239,-122.2,37.79,45.0,2021.0,528.0,1410.0,480.0,2.7788,16070.659769615766,NEAR BAY
240,-122.21,37.78,46.0,2239.0,508.0,1390.0,569.0,2.7352,101122.3522742588,NEAR BAY
241,-122.21,37.78,52.0,1477.0,300.0,1065.0,269.0,1.8472,44130.59787795381,NEAR BAY
242,-122.21,37.78,52.0,1056.0,224.0,792.0,245.0,2.6583,50229.14236416646,NEAR BAY
243,-122.21,37.78,49.0,898.0,244.0,779.0,245.0,3.0536,18926.13570836391,NEAR BAY
244,-122.22,37.78,44.0,2968.0,710.0,2269.0,610.0,2.3906,37517.12026767522,NEAR BAY
245,-122.21,37.78,43.0,1702.0,460.0,1227.0,407.0,1.7188,41269.431491615185,NEAR BAY
246,-122.21,37.78,47.0,881.0,248.0,753.0,241.0,2.625,153406.8527884673,NEAR BAY
247,-122.22,37.77,40.0,494.0,114.0,547.0,135.0,2.8015,109163.44913891118,NEAR BAY
248,-122.22,37.78,50.0,1776.0,473.0,1807.0,440.0,1.7276,25487.25685008691,NEAR BAY
249,-122.22,37.78,44.0,1678.0,514.0,1700.0,495.0,2.0801,28118.95487157191,NEAR BAY
250,-122.22,37.78,51.0,1637.0,463.0,1543.0,393.0,2.489,113046.76753217724,NEAR BAY
251,-122.21,37.76,52.0,1420.0,314.0,1085.0,300.0,1.7546,49276.015180104514,NEAR BAY
252,-122.21,37.77,52.0,591.0,173.0,353.0,137.0,4.0904,175113.86103767686,NEAR BAY
253,-122.21,37.77,52.0,745.0,153.0,473.0,149.0,2.6765,43294.457259515366,NEAR BAY
254,-122.2,37.77,49.0,2272.0,498.0,1621.0,483.0,2.4338,20524.979128937124,NEAR BAY
255,-122.21,37.77,46.0,1234.0,375.0,1183.0,354.0,2.3309,17191.178309384934,NEAR BAY
256,-122.21,37.77,43.0,1017.0,328.0,836.0,277.0,2.2604,9218.238488154773,NEAR BAY
257,-122.19,37.77,42.0,932.0,254.0,900.0,263.0,1.8039,11071.214511436563,NEAR BAY
258,-122.2,37.77,39.0,2689.0,597.0,1888.0,537.0,2.2562,23233.195053760282,NEAR BAY
259,-122.2,37.77,41.0,1547.0,415.0,1024.0,341.0,2.0562,76459.28191975087,NEAR BAY
260,-122.2,37.78,52.0,2300.0,443.0,1225.0,423.0,3.5398,62836.64824292694,NEAR BAY
